issue_number,title,labels,Category,Sentiment,L1_Tag,L1_Category,L2_Tag,L2_Category,Confidence,Tagging_Notes
13904,Incident Report: Claude Opus 4.5 Destructive Actions During Test Restructuring,"bug, has repro, area:core, area:security",Bug,Negative,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
13901,[BUG] It refuses your filter to make me at manage country flags based on user ip,"bug, has repro, platform:windows, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13900,[BUG] `/hooks` command: Selecting any hook event redirects to `PreToolUse` settings.,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13897,"Agent calls tools twice after permission approval, causing redundant executions","bug, has repro, platform:linux, area:tools, area:mcp",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13894,[BUG]  Claude Code / Bun AVX-512 Crash,"bug, has repro, platform:linux, area:packaging",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13888,[BUG] `https://storage.googleapis.com/claude-code-dist-86c565f3-f756-42ad-8dfa-d59b1c096819/claude-code-releases/stable` still points to 2.0.65,"bug, has repro, area:packaging",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13883,[Bug] @ symbol doesn't immediately prompt MCP server selection,"bug, has repro, platform:macos, area:tui, area:mcp",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13882,[FEATURE] Full interactive shell experience replacing/improving the Bash mode,"enhancement, area:tui, area:tools",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13880,[Feature Request] Add support for Google Antigravity IDE visual diffs,invalid,Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13879,[Bug] Terminal setup incompatible detection logic conflicts between Visual Studio and Windows Terminal,"bug, duplicate, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13876,[BUG] URL generated from /feeback in Claude Code breaks Github Issue creation,"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13874,[Bug] Custom slash commands not appearing after recent update,"bug, has repro, platform:windows, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13870,[FEATURE],"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13863,"[FEATURE] Keep diff visible when selecting ""tell Claude what to do differently""","enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13858,[Feature Request] Built-in subagents should support configurable or inherited model selection,"enhancement, area:tools, area:model",Feature Request,Positive,L1.4,Tools & Execution,Other,Other,Low,No L2 match found
13856,[Bug] Persistent Connection Error to Anthropic API in VSCode,"bug, has repro, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13854,[BUG] Unable to select model using option+p in Mac,"bug, has repro, api:bedrock, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13851,[BUG] v2.0.68 does not display MCP interaction in subagent even with --debug and/or --verbose,"bug, has repro, platform:windows, area:mcp",Bug,Neutral,L1.5,MCP Integration,Other,Other,Low,Weak L2 match (score=1)
13850,[BUG],"bug, platform:macos, area:tools, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13844,[Feature Request] Restore quick-access thinking mode toggle and visual indicator,"bug, enhancement, has repro, platform:macos, area:tui, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13841,Standardize Phase 1 Catalog Service File Structures,invalid,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13840,VS Code Extension: Lacks XDG Base Directory Specification Compliance,"bug, duplicate, platform:linux, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13839,[BUG] VS Code extension top bar button missing after v2.0.65 update,"bug, has repro, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13836,[FEATURE] AI Seed number as a parameter for consistency.,"enhancement, area:model, area:api",Feature Request,Positive,L1.2,API & Integration,Other,Other,Low,No L2 match found
13820,[BUG] Status line context window misreports when sub-agent usage is counted,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13818,[Bug] Claude Code web: Repos show as configured but remain inaccessible in UI,"bug, has repro, platform:macos, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13801,placeholder,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
13798,[Bug] Private marketplace clone fails with HTTPS authentication error,"bug, has repro, platform:macos, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13791,[BUG] When in a workspace (vs code workspace file) the Yes and don't ask again is not working,"bug, has repro, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,No L2 match found
13790,[DOCS] Windows 11 users will benefit from correct path to `bash.exe``,"documentation, platform:windows",Documentation,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13787,"[BUG] Claude Code VS Code extension throws an error when re-reading an image that was previously read successfully, and the chat cannot continue afterward","bug, has repro, platform:windows, area:tools, area:api, area:ide",Bug,Negative,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13783,[BUG] Statusline context_window JSON contains cumulative tokens instead of current context usage,"bug, has repro, platform:macos, area:tui, area:api",Bug,Negative,L1.2,API & Integration,Other,Other,Low,No L2 match found
13782,[FEATURE] Reload local plugins on startup,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13768,[BUG] Thinking mode setting in settings.json not persisted across sessions,,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13767,[FEATURE] Provide an option to disable your ugly ask a user dialog,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13765,Context window tracking in statusline doesn't reset on /clear,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13755,[Question] Why did the Clawd mascot color change from orange to blue?,"question, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13742,[Volunteer Request] Beta tester for audio interface for Claude Code,"enhancement, question, platform:macos",Feature Request,Positive,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13738,[BUG] Bug/Feature: Clipboard image paste not working in WSL,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13726,Windows: SSH keys fail with 'error in libcrypto' due to line endings,"bug, enhancement, has repro, platform:windows, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13724,[Bug] Anthropic API Error: OAuth token missing user:profile scope for usage data,"bug, duplicate, has repro, platform:macos, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13723,[BUG] Claude Code JetBrains plugin jumps to the beginning of terminal on terminal resize,bug,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13720,[FEATURE] code REVIEWS that do not suck,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13718,[BUG] Webfetch not working in cloud version,"bug, has repro, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13715,[Bug] Model performance degradation in current version,"bug, platform:macos, area:model, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13705,"[Bug] Update process leaves stale lock file, blocking subsequent updates","bug, has repro, platform:macos, area:packaging",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13703,[FEATURE] Ship Claude Code as a standalone binary (ideally Rust),"enhancement, platform:windows, area:packaging",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13701,[Bug] Anthropic API Error: Invalid thinking parameter in requests,"bug, has repro, platform:windows, area:model, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13697,Use/No prompt related commands after use /rewind  and Restore conversation,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13695,[FEATURE] Feature Request - Add annotation to plans claude proposes inside of visual studio code / cursor,"enhancement, area:tui, area:ide",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13693,placeholder,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
13688,session-memory/summary.md files not being created in v2.0.65,"bug, has repro, platform:linux, memory",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13686,[Bug] UTF-8 Character Corruption in Project Knowledge File Workflow,"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13680,[Bug] /bug command output not copyable and GitHub issue length validation fails without fallback,"bug, has repro, platform:macos, area:core",Bug,Negative,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13669,[Bug] /context command fails with: Anthropic API Error: Invalid message format with thinking blocks and tool use,"bug, has repro, platform:linux, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13666,"[Bug] VS Code Extension Hijacks cmd+shift+' Shortcut, Forces Claude Window Focus","bug, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13662,[BUG] Claude code extension does not update,"bug, platform:windows, area:packaging, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13660,[BUG] Input Method for Chinese Character's wrong location on windows 11 24H2,bug,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13659,"[BUG] I have updated my Claude, but I do have the same tokens limitation...","bug, has repro, platform:macos, area:cost, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13651,5k bugs? HELLO ANYBODY WORKING ON ANYTHING????? HELLLO???? PAYING CUSTOMERS OUT HERE!!!!,"bug, invalid, platform:windows",Bug,Negative,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13648,[Bug] Anthropic API Error: Cannot modify thinking blocks in assistant message,"bug, duplicate, has repro, platform:macos, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13647,[Bug] Model selection defaults to Opus 4.1 when Opus 4.5 is selected,"bug, has repro, platform:windows, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13632,Limit reached · resets 11:30am (Asia/Calcutta) · /upgrade to Max or turn on /extra-usage,"bug, has repro, platform:macos, area:cost, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13631,[Feature Request] Vi mode: Add jk key mapping with timeout to ESC,"enhancement, platform:windows, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13630,[Bug] Session token limit reached prematurely after upgrade to v2.0.64,"bug, has repro, platform:macos, area:cost, area:api, area:security",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13602,[BUG] Cannot press Enter in new chats - React error #418 (old chats work fine),"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
